date,name,currency,open,close,high,low,volume
2016-01-05,Apple Inc.,USD,105.75,102.709999,105.849998,102.410004,55791000
2016-01-04,Apple Inc.,USD,102.610001,105.349998,105.370003,102.00,67649400
2016-02-01,Alphabet,CHF,788.50,784.50,788.50,782.50,000
2016-01-29,Alphabet,CHF,765.00,765.00,765.00,765.00,000
2016-01-28,Alphabet,CHF,751.00,751.00,751.00,751.00,000
2016-01-27,Alphabet,CHF,744.00,744.00,744.00,744.00,000
2016-01-26,Alphabet,CHF,744.00,744.00,744.00,744.00,000
2016-01-25,Alphabet,CHF,747.00,758.00,758.00,747.00,000
2016-01-22,Alphabet,CHF,750.00,736.00,750.00,736.00,000
2016-01-21,Alphabet,CHF,712.50,720.50,720.50,712.50,000
2016-01-20,Alphabet,CHF,707.00,707.00,707.00,707.00,000
2016-01-19,Alphabet,CHF,707.00,707.00,707.00,707.00,000
2016-01-18,Alphabet,CHF,707.00,707.00,707.00,707.00,000
2016-01-15,Alphabet,CHF,725.50,710.00,725.50,723.50,000
2016-01-14,Alphabet,CHF,762.50,762.50,762.50,762.50,000
2016-01-13,Alphabet,CHF,758.50,762.50,762.50,758.50,000
2016-01-12,Alphabet,CHF,740.00,746.00,746.00,740.00,000
2016-01-11,Alphabet,CHF,730.50,730.50,730.50,730.50,000
2016-01-08,Alphabet,CHF,754.50,754.50,754.50,754.50,000
2016-01-07,Alphabet,CHF,760.00,754.50,760.00,750.00,000
2016-01-06,Alphabet,CHF,772.00,772.00,772.00,772.00,000
2016-01-05,Alphabet,CHF,765.50,774.00,774.00,765.50,000
2016-01-04,Alphabet,CHF,756.00,756.00,756.00,756.00,000
2016-01-01,Alphabet,CHF,782.00,782.00,782.00,782.00,000
2016-02-01,SamsungElec,KRW,1152000.00,1163000.00,1163000.00,1151000.00,259900
2016-01-29,SamsungElec,KRW,1140000.00,1150000.00,1150000.00,1116000.00,436900
2016-01-28,SamsungElec,KRW,1164000.00,1145000.00,1168000.00,1139000.00,315900
2016-01-27,SamsungElec,KRW,1126000.00,1175000.00,1175000.00,1126000.00,276200
2016-01-26,SamsungElec,KRW,1155000.00,1137000.00,1157000.00,1136000.00,152300
2016-01-25,SamsungElec,KRW,1172000.00,1162000.00,1176000.00,1156000.00,159900
2016-01-22,SamsungElec,KRW,1145000.00,1168000.00,1168000.00,1145000.00,147500
2016-01-21,SamsungElec,KRW,1133000.00,1131000.00,1155000.00,1125000.00,190300
2016-01-20,SamsungElec,KRW,1160000.00,1138000.00,1160000.00,1132000.00,167000
2016-01-19,SamsungElec,KRW,1128000.00,1171000.00,1171000.00,1128000.00,207200
2016-01-18,SamsungElec,KRW,1088000.00,1126000.00,1133000.00,1088000.00,320200
2016-01-15,SamsungElec,KRW,1140000.00,1132000.00,1152000.00,1124000.00,209400
2016-01-14,SamsungElec,KRW,1131000.00,1138000.00,1142000.00,1131000.00,209000
2016-01-13,SamsungElec,KRW,1153000.00,1148000.00,1159000.00,1148000.00,143300
2016-01-12,SamsungElec,KRW,1148000.00,1146000.00,1166000.00,1144000.00,206200
2016-01-11,SamsungElec,KRW,1156000.00,1152000.00,1166000.00,1146000.00,241200
2016-01-08,SamsungElec,KRW,1163000.00,1171000.00,1186000.00,1163000.00,257700
2016-01-07,SamsungElec,KRW,1166000.00,1163000.00,1183000.00,1151000.00,282300
2016-01-06,SamsungElec,KRW,1208000.00,1175000.00,1208000.00,1168000.00,366700
2016-01-05,SamsungElec,KRW,1202000.00,1208000.00,1218000.00,1186000.00,216000
2016-01-04,SamsungElec,KRW,1260000.00,1205000.00,1260000.00,1205000.00,306900
2016-01-01,SamsungElec,KRW,1260000.00,1260000.00,1260000.00,1260000.00,000
